Categoria_Griglia,Nome_Griglia,Compito_Due,Compito_Tre,Cache_Usata,Sorted_Frontiera,Media_Cache_Hit,Media_Celle_Frontiera,Media_Iterazioni_Condizione,Tempo,Spazio_KB,Massima_Profondita,Esecuzioni_Corrette,Timeout,Destinazione_Irraggiungibile
DoppiaLineaSpezzata,Griglia Piccola,V1,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,12,51,0,2ms 286100ns,11.72,15,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V1,PERFORMANCE_SORTED_FRONTIERA,false,true,0,706,0,5ms 951360ns,14.06,18,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V1,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,201,0,2ms 65740ns,14.06,18,true,false,false
DoppiaLineaSpezzata,Griglia Piccola,V1,PERFORMANCE,true,true,12,51,0,1ms 780410ns,12.50,16,true,false,false
LineaSpezzata,Griglia Grande,V0,DEFAULT,false,false,0,1048573,0,20s 363ms 951770ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_CACHE,true,false,48,157,0,7ms 157850ns,93.75,30,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,961192,174762,15s 753ms 231820ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_FULL,true,true,47,156,2,5ms 626400ns,93.75,30,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_NO_CACHE,false,true,0,961192,87381,16s 378ms 439510ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,48,157,0,8ms 61390ns,93.75,30,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,47,156,3,8ms 997530ns,93.75,30,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,1048573,0,20s 266ms 45600ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE_SVUOTA_FRONTIERA,false,false,0,1439,0,31ms 103050ns,118.75,38,true,false,false
LineaSpezzata,Griglia Grande,V0,PERFORMANCE,true,true,47,156,2,7ms 62890ns,93.75,30,true,false,false
LineaSpezzata,Griglia Media,V0,DEFAULT,false,false,0,1021,0,26ms 45690ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE_CACHE,true,false,18,67,0,2ms 76910ns,23.44,15,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE_CONDIZIONE_RAFFORZATA,false,false,0,936,170,11ms 157710ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE_FULL,true,true,17,66,2,1ms 645200ns,23.44,15,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE_NO_CACHE,false,true,0,936,85,12ms 438820ns,28.13,18,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE_NO_CONDIZIONE_RAFFORZATA,true,true,18,67,0,1ms 749550ns,23.44,15,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE_NO_SORTED_FRONTIERA,true,false,17,66,3,1ms 713290ns,23.44,15,true,false,false
LineaSpezzata,Griglia Media,V0,PERFORMANCE_SORTED_FRONTIERA,false,true,0,1021,0,14ms 771650ns,28.13,18,true,false,false
